input_note_id	en1	part_of_speech	cat	de_cat	allch	dech	de1	de_pronun	de2	de1_hint	de_notes	de3	de3_prompt	de_conf	at1	sd1	dib_sentences	de_xref	de_xref_ignore_ch	comments
1	course catalog	N			2.2		das Vorlesungsverzeichnis		-se											We present a simple note first because most of the notes in this example file are meant to provide suggestions in all the edge cases users may encounter, but there is nothing wrong with having simple cards where only `input_note_id`, `en1`, `de1`, and `de2` are populated.
2	eight	O			1.7		acht													An even simpler note for a cardinal number where `de2` is also empty.
3	stay, remain	V			1.2		bleiben		bleibt, blieb, ist geblieben								der Esel sagt ihm, dass er nicht allein zu bleiben braucht			(1) The number of tokens in `de1` don’t need to match those in `en1`. (2) This note also has an example sentence from Deutsch im Blick where the audio can be linked, so it is put in `dib_sentences`. If this is a sentence that we wanted to make ourselves translate when studying the note, a prompt in `de3_prompt` would have been added. (But this is not done since the sentence is very complex for Chapter 1.)
4	student	N	UNI		1.2,2.1		der Student, die Studentin		-en [n-dekl], -nen			ich bin Student	I am a student							(1) For masculine nouns with plural ending -n or -en, it seems useful to put in `de2` either ‘[n-dekl]’ or ‘[not: n-dekl]’; (2) For words in earlier chapters, we present the masculine and feminine forms in separate tokens of `de1`. In later chapters, the feminine form is indicated simply by an ‘(in)’ ending after the masculine form, although both plurals are still shown as a reminder.
6	come	V			1.4,6		kommen		kommt, kam, ist gekommen		see also: come from									We deliberately skip input_note_id=5 in this example file to emphasize that `input_note_id` should uniquely identify a row in this file, but gaps in the sequence are ok. `input_note_id` will be used by the flashcard software to identify the note, so users should not change the numbers of notes once they are created.
7	come (from somewhere)	V			1.4,6.51		kommen (aus D)					ich komme aus den USA	I come from the U.S.					kommen aus		The audio file to be linked will be associated with the headword ‘kommen aus’, so ‘kommen aus’ is added to `de_xref`.
8	cell phone	N	TECH		1.12		das Handy		-s			was ist deine Handynummer?	what is your (inf) cell phone number?							The prompt indicates whether 'you' is formal or informal. (2) The plural ending is deliberately omitted from `de2`. The sample program will therefore identify this record in the de2_prob.txt output listing.
9	professor	N	PROF,UNI	STMPL	2.1,8.7		der Professor, die Professorin	stress moves: Prof[e]ssor, -fess[[o]]ren	-en, -nen	give one masc. and one fem. word										(1) The `de_pronun` field indicates moving stress. (2) The `de1_hint` gives a hint that will be printed with the prompt for `de1` along with `en1`, `part_of_speech`, and the number of target answers in the `de1` field.
10	drink	V	FOOD		3.2,8.3		trinken ([etw])		trinkt, trank, getrunken			einen Kaffee trinken gehen; ein Bier trinken gehen	go for a coffee; go for a beer							
11	career counselor	N	PROF		8.7,9.3		der Berufsberater(in)		-, -nen											See previous note for ‘student’.
12	dream (about sb/sth)	V			8.3,10.57		träumen ([von jdm/etw])		wk			ich hab' von dir geträumt	I dreamed about you (inf).							For more advanced verbs, listing the principal forms of a verb in `de2` can be replaced with ‘wk’ for a weak verb and ‘sg’ for a strong verb (where the ending should already be known). However, if the verb begins with a prefix that can be separable or inseparable, the third person present should be given to indicate this. The example program will generate a warning if the prefix is not found in the appropriate token of `de2` (e.g., for the next note, ‘surprise’).
13	surprise (sb)	V			9.2		überraschen (jdn)		wk											
14	immediately	A	TIME		10.51		sofort, gleich				1: immediately, 2: in a minute									We have put these two words with slightly different meanings on the same card with the different meanings indicated in `de3`, but different notes could have been made instead.
15	butterfly	N	ANIMAL				der Schmetterling		-e			Schmetterlinge/Flugzeuge im Bauch haben	have butterflies in one’s stomach (and give the same expression with another noun)					die Schmetterlinge (Pl.)		'der Schmetterling’ is a perfectly valid singular noun, but the reference presents the plural form in its vocabulary list and audio pronunciation. This is likely to be a problem if a different reference has ‘der Schmetterling’ as a singular form in their list. We therefore put one of the forms in `de1` and the other form in `de_xref`. This note chooses to put the singular in `de1` and therefore `en1` gives the singular translation. The next note presents the example where the alternate is chosen.
16	butterflies	N	ANIMAL		8.3		die Schmetterlinge (Pl.)		___			Schmetterlinge/Flugzeuge im Bauch haben	have butterflies in one’s stomach (and give the same expression with another noun)					der Schmetterling		See previous note for ‘butterfly’
17	get dressed	V	CLOTHING		7.51		sich anziehen		zieht sich an, zog sich an, sich angezogen			non-refl = put on (some piece of clothing) (etw)	also give non-refl definition	VBZIEHEN						An example where `en1` has a reflexive translation. A prompt to give the meaning of the verb without the reflexive pronoun is also given in `de3_prompt`. (2) The next four notes are all verbs containing the base form ‘ziehen’. Because it is common when learning to confuse the meanings of these words with similar bases, the string ‘VBZIEHEN’ is placed in `de_conf`, and the example python program replaces this with a string giving the five German words/phrases with this base and their translation.
18	get undressed	V	CLOTHING		7.51		sich ausziehen		zieht sich aus, zog sich aus, sich ausgezogen			non-refl = take off (some piece of clothing) (etw)	also give non-refl definition	VBZIEHEN						See Comment (2) on ‘get dressed’ note for explanation of de_conf=’VBZIEHEN’.
19	get changed	V	CLOTHING		7.51		sich umziehen		sg					VBZIEHEN						See Comment (2) on ‘get dressed’ note for explanation of de_conf=’VBZIEHEN’. See ‘dream’ note for explanation of de3=’sg’.
