Wavelength Extinction RMS nMAD Rayleigh Ozone Aerosols
3000 0.856 0.06  0.06  0.606 0.214 0.036
3200 0.856 0.06  0.06  0.606 0.214 0.036
3300 0.588 0.057 0.041 0.532 0.021 0.035
3400 0.514 0.053 0.040 0.469 0.012 0.033
3500 0.448 0.048 0.039 0.415 0.001 0.032
3600 0.400 0.045 0.037 0.369 0.000 0.031
3700 0.359 0.042 0.035 0.329 0.000 0.030
3800 0.323 0.039 0.034 0.294 0.000 0.029
3900 0.292 0.036 0.032 0.264 0.000 0.028
4000 0.265 0.033 0.030 0.238 0.000 0.027
4100 0.241 0.031 0.029 0.215 0.000 0.026
4200 0.220 0.029 0.027 0.194 0.000 0.026
4300 0.202 0.027 0.026 0.176 0.001 0.025
4400 0.185 0.026 0.025 0.160 0.001 0.024
4500 0.171 0.024 0.023 0.146 0.001 0.023
4600 0.159 0.023 0.022 0.134 0.003 0.023
4700 0.147 0.021 0.021 0.122 0.003 0.022
4800 0.139 0.020 0.020 0.112 0.005 0.022
4900 0.130 0.019 0.019 0.103 0.006 0.021
5000 0.125 0.018 0.017 0.095 0.009 0.021
5100 0.119 0.017 0.016 0.087 0.012 0.020
5200 0.114 0.016 0.015 0.081 0.013 0.020
5300 0.113 0.015 0.014 0.075 0.019 0.019
5400 0.109 0.015 0.013 0.069 0.022 0.019
5500 0.106 0.014 0.013 0.064 0.024 0.018
5600 0.107 0.013 0.012 0.060 0.029 0.018
5700 0.108 0.013 0.012 0.056 0.035 0.017
5800 0.103 0.012 0.011 0.052 0.034 0.017
5900 0.098 0.012 0.011 0.048 0.033 0.017
6000 0.098 0.011 0.010 0.045 0.037 0.016
6100 0.092 0.011 0.010 0.042 0.034 0.016
6200 0.084 0.010 0.009 0.039 0.029 0.016
6300 0.078 0.010 0.009 0.037 0.026 0.015
6400 0.070 0.009 0.008 0.035 0.021 0.015
6500 0.065 0.009 0.008 0.033 0.018 0.015
6600 0.060 0.008 0.007 0.031 0.015 0.014
6700 0.056 0.008 0.007 0.029 0.013 0.014
6800 0.052 0.008 0.007 0.027 0.011 0.014
6900 0.048 0.007 0.006 0.026 0.008 0.014
7000 0.044 0.007 0.006 0.024 0.007 0.013
7100 0.042 0.007 0.006 0.023 0.006 0.013
7200 0.039 0.006 0.005 0.022 0.005 0.013
7300 0.037 0.006 0.005 0.020 0.004 0.013
7400 0.035 0.006 0.005 0.019 0.003 0.013
7500 0.033 0.006 0.004 0.018 0.003 0.012
7600 0.032 0.005 0.004 0.017 0.002 0.012
7700 0.030 0.005 0.004 0.016 0.002 0.012
7800 0.029 0.005 0.004 0.016 0.002 0.012
7900 0.028 0.005 0.004 0.015 0.002 0.012
8000 0.027 0.005 0.003 0.014 0.001 0.011
8100 0.026 0.004 0.003 0.013 0.001 0.011
8200 0.025 0.004 0.003 0.013 0.001 0.011
8300 0.024 0.004 0.003 0.012 0.001 0.011
8400 0.023 0.004 0.003 0.012 0.001 0.011
8500 0.023 0.004 0.002 0.011 0.001 0.011
8600 0.022 0.004 0.002 0.011 0.001 0.010
8700 0.021 0.004 0.002 0.010 0.001 0.010
8800 0.021 0.004 0.002 0.010 0.001 0.010
8900 0.020 0.003 0.002 0.009 0.001 0.010
9000 0.019 0.003 0.002 0.009 0.001 0.010
9100 0.019 0.003 0.002 0.008 0.001 0.010
9200 0.018 0.003 0.002 0.008 0.001 0.010
9300 0.018 0.003 0.002 0.008 0.001 0.009
9400 0.017 0.003 0.001 0.007 0.001 0.009
9500 0.017 0.003 0.001 0.007 0.000 0.009
9600 0.016 0.003 0.001 0.007 0.000 0.009
9700 0.016 0.003 0.001 0.006 0.000 0.009
9800 0.015 0.003 0.001 0.006 0.000 0.009
9900 0.015 0.003 0.001 0.006 0.000 0.009
10000 0.014 0.003 0.001 0.006 0.000 0.009
11000 0.014 0.003 0.001 0.006 0.000 0.009
