epoch,step,train_loss_epoch,train_loss_step
0,49,,2.9516966342926025
0,99,,3.251810312271118
0,149,,2.2869174480438232
0,199,,2.4082083702087402
0,249,,3.9982008934020996
0,299,,2.2024152278900146
0,309,3.294032573699951,
1,349,,1.7307941913604736
1,399,,3.7818350791931152
1,449,,2.6937670707702637
1,499,,1.8037601709365845
1,549,,1.2107826471328735
1,599,,2.604912042617798
1,619,2.2547872066497803,
2,649,,1.2225632667541504
2,699,,1.1795231103897095
2,749,,1.7291618585586548
2,799,,1.8678053617477417
2,849,,2.2608485221862793
2,899,,1.0748705863952637
2,929,1.9910192489624023,
3,949,,2.174734115600586
3,999,,3.16191029548645
3,1049,,1.1205275058746338
3,1099,,0.7655653357505798
3,1149,,2.4527907371520996
3,1199,,2.014913320541382
3,1239,2.027416706085205,
4,1249,,2.0672497749328613
4,1299,,1.8140108585357666
4,1349,,1.2093846797943115
4,1399,,1.3002517223358154
4,1449,,2.31709361076355
4,1499,,4.10498046875
4,1549,,0.00019291300850454718
4,1549,1.8903790712356567,
5,1599,,2.3215577602386475
5,1649,,1.0162475109100342
