epoch,step,train_loss_epoch,train_loss_step
0,49,,8.710161209106445
0,99,,10.786209106445312
0,149,,9.154894828796387
0,199,,5.893825531005859
0,249,,6.011704444885254
0,299,,7.482020378112793
0,309,7.193568706512451,
1,349,,5.057117462158203
1,399,,5.158154487609863
1,449,,7.659376621246338
1,499,,7.654974937438965
1,549,,6.640303134918213
1,599,,5.367422103881836
1,619,6.003453731536865,
2,649,,4.721436500549316
2,699,,9.631745338439941
2,749,,4.903483867645264
2,799,,3.858825445175171
2,849,,6.471656799316406
2,899,,5.551630973815918
