id,english,tigrina,usewith,registeredby
515,Account Collectors,ኣካቢ ሕሳብ,,gide
516,Accountants,ተሓዚ ገንዘብ,,gide
517,Accounting Clerks,ጸሓፊ ሕሳብ,,gide
518,Actors,ተዋሳእቲ,,gide
519,Actuaries,ፈታሕቲ ሽግር ወይ ናይ መጻኢ ኣታዊ ይኹን ዕዳ ዝቅምሩ,,gide
520,Adhesive Bonding Machine Operators and Tenders,ኣብ ኢድ ማኪና ማሽን ኦፕሬተራትን ጅማውትን,,gide
521,Administrative Assistants,ምምሕዳራዊ ሓገዝ,,gide
522,Administrative Services Managers,ሓለፍቲ ምምሕዳራዊ ኣገልግሎታት,,gide
523,Adult Literacy and High School Equivalency Diploma Teachers,ናይ ዓበይቲ ምጥፋእ መሃይምነትን ናይ ላዕለዋይ ደረጃ ትምህርትን ክእለት መምህራን,,gide
524,Adult Literacy Teachers,መምህራን ምጥፋእ መሃይምነት ንዓበይቲ,,gide
525,Advertising Managers,ኣካየድቲ መወዓውዒ,,gide
526,Advertising Sales Agents,ናይ ምውዕዋዕ መስርሕ,,gide
527,Aerospace Engineering and Operations Technicians,ኤሮስፖስፊንግ ኢንጂነሪንግን ቴክኒሻናትን,,gide
528,Aerospace Engineers,ኤሮስፐይስ ኢንጂነሪንግ,,gide
529,Aerospace Engineers,ኤሮስፐይስ ኢንጂነሪንግ,,gide
530,Agents and Business Managers of Artists, Performers, and Athletes,ወኪላትን ኣካየድቲ ስራሕ ኣርቲስትን ገጠምትን ኣትለታትን,,gide
531,Agricultural Engineers,ኢንጂነራት ሕርሻ,,gide
532,Agricultural Engineers,ኢንጂነራት ሕርሻ,,gide
533,Agricultural Inspectors,ናይ ሕርሻ ኢንስፔክተር,,gide
534,Agricultural Managers,ኣካየድቲ ሕርሻ,,gide
535,Agricultural Scientists,ክኢላታት ሕርሻ,,gide
536,Agricultural Technicians,ክኢላታት ሕርሻ,,gide
537,Agricultural Workers,ዕዮ ሕርሻ,,gide
538,Air Conditioning and Heating Mechanics and Installers,ብቕዓት ኣየርን ምፍዋስ ሜካኒካውንትን መሕለፍ ግዜን,,gide
539,Air Traffic Controllers,ተቘጻጸርቲ መገዲ ኣየር,,gide
540,Aircraft Cargo Handling Supervisors,ናይ ነፋሪት ካርጎ ሃንድሊንግ ሱፐርቫይዘራት,,gide
541,Aircraft Equipment Mechanics and Technicians,ናይ ነፈርቲ ዕጥቂ መካኒክን ቴክኒሻናትን,,gide
542,Airfield Operations Specialists,ክኢላታት ሓይሊ ኣየር,,gide
543,Airline and Commercial Pilots,መገዲ ኣየርን ንግድን ጲላጦስን,,gide
544,Teachers and Instructors,መምህራን,,gide
