id,adverb,word_tigrina
1,beautifully,ብጽባቐ
2,boldly,ብትብዓት
3,bravely,ብትብዓት
4,calmly,ብህድኣት
5,carefully,ብጥንቃቐ
6,cautiously,ብጥንቃቐ
7,eagerly,ብሃንቀውታ
8,easily,ብቐሊሉ
9,elegantly,ብውቁብ መንገዲ
10,faithfully,ብተኣማንነት
11,frankly,ብግልጺ ክዛረብ እንተኾይነ
12,honestly,ብቕንዕና
13,joyously,ብሓጎስ
14,kindly,ብለውሃት
15,neatly,ብጽፉፍ
16,obediently,ብተኣዛዝነት
17,openly,ብግልጺ
18,patiently,ብትዕግስቲ
19,perfectly,ፍጹም
20,powerfully,ብሓይሊ
21,anxiously,ብጭንቀት
22,badly,ብሕማቕ
23,blindly,ብዓይነ ስውር
24,carelessly,ብዘይጥንቃቐ
25,cheerfully,ብሓጎስ
26,equally,ብማዕረ
27,frantically,ብፍርሒ
28,generously,ብለጋስነት
29,gently,ብህድኣት
30,gladly,ብሓጎስ
31,inadequately,ብዘይእኹል መንገዲ
32,justly,ብፍትሓዊ
33,lazily,ሰነፍ
34,madly,ብዕብዳን
35,politely,ብጭውነት
36,poorly,ሕማቕ
37,promptly,ብቕልጡፍ
38,quickly,ብቕልጡፍ
39,quietly,ስቕ ኢልካ
40,rapidly,ብቕልጡፍ
41,rudely,ብዘይግቡእ
42,selfishly,ርእሰ ፍትወት
43,shyly,ብሓፋር
44,tensely,ብውጥረት
45,violently,ብዓመጽ
46,well,ደሓን
47,angrily,ብሕርቃን
48,awkwardly,ብዘይሕንከት
49,cruelly,ብጭካነ
50,foolishly,ብዕሽነት
51,greedily,ብስስዐ
52,hastily,ብታህዋኽ
53,hungrily,ብጥሜት
54,irritably,ብሕርቃን
55,loudly,ዓው ኢልካ
56,nervously,ብነርቭ
57,noisily,ብጫውጫውታ
58,painfully,ብዘሕምም
59,recklessly,ብዘይግቡእ
60,roughly,ብግምት
61,sadly,እቲ ዘሕዝን
62,stupidly,ብዕሽነት
63,suspiciously,ብዘጠራጥር መንገዲ
64,almost,ዳርጋ
65,deeply,ብዕምቆት
66,enough,ይኣክል
67,extremely,ኣዝዩ
68,fully,ምሉእ ብምሉእ
69,greatly,ብዓቢኡ
70,how,ከመይ
71,incredibly,ንምእማኑ ዘጸግም
72,very,ብጣዕሚ
73,utterly,ፍጹም
74,totally,ጠቕላላ
75,too,"እንኮላይ"
76,scarcely,ሳሕቲ
77,really,ብሓቂ
78,rather,እንታይ ደኣ
79,pretty,ጽብቕቲ
80,practically,ብተግባር
81,positively,ኣወንታዊ መንገዲ
82,much,ብዙሕ
83,lots,ዕጫ
84,little,ንእሽቶ
85,least,ዝወሓደ
86,just,በቃ
87,intensely,ብጽዑቕ
88,highly,ብጣዕሚ
89,hardly,ብኸቢድ
90,far,ርሑቕ
91,fairly,ብፍትሓዊ መንገዲ
92,entirely,ምሉእ ብምሉእ
93,enormously,ብዓቢኡ
94,decidedly,ብውሳኔ
95,completely,ምሉእ ብምሉእ
96,barely,ብተጸጊሙ
97,awfully,ብዘስካሕክሕ
98,absolutely,ፍጹም
99,indeed,ብሓቂ
100,less,ውሑድ
101,most,ዝበዝሑ
102,nearly,ዳርጋ
103,purely,ጽሩይ
104,quite,ምሉእ ብምሉእ
105,simply,ብቐሊሉ
106,so,ስለዚ
107,somewhat,ብመጠኑ
108,strongly,ብትሪ
109,terribly,ብዘስካሕክሕ መንገዲ
110,thoroughly,ብዕምቆት
111,virtually,ብተግባር
112,along,ኣሎንግ
113,anywhere,ኣብ ዝኾነ ቦታ
114,back,ድሕሪት
115,behind,ብድሕሪት
116,here,ኣብዚ
117,indoors,ኣብ ውሽጢ ገዛ
118,inside,ውሽጢ
119,near,ኣብ ቀረባ
120,nearby,ኣብ ቀረባ
121,next door,ኣብ ጎረቤት
122,outside,ኣብ ደገ
123,right,የማን
124,towards,ናብ
125,over,ኣብ ልዕሊ
126,out,ወጺኡ
127,on,ኣብ
128,off,ምጥፋእ
129,in,ኣብ
130,fast,ቅልጡፍ
131,eventually,ኣብ መወዳእታ
132,elsewhere,ኣብ ካልእ ቦታታት
133,east,ምብራቕ
134,downstairs,ታሕተዋይ ደርቢ
135,down,ንታሕቲ
136,below,ኣብ ታሕቲ
137,backward,ንድሕሪት
138,backwards,ንድሕሪት
139,away,ርሑቕ
140,abroad,ኣብ ወጻኢ ሃገራት
141,above,ኣብ ላዕሊ
142,about,ብዛዕባ
143,overseas,ኣብ ወጻኢ ሃገራት
144,rightfully,ብግቡእ
145,somewhere,ኣብ ሓደ ቦታ
146,suddenly,ሃንደበት
147,there,ኣብኡ
148,tightly,ብጽኑዕ
149,under,ትሕቲ
150,underground,ትሕቲ መሬት
151,up,ላዕሊ
152,upstairs,ላዕለዋይ ደርቢ
