id,english,tigrina,registeredby
1,in,ኣብ,NULL
2,to,ን,NULL
3,to,ናብ,NULL
4,by,ብ,NULL
6,there,ናብኡ,NULL
7,here,ኣብዚ,NULL
8,and,"ከምኡ ውን",NULL
9,as,ከም,NULL
10,before,ቅድሚ,NULL
11,if,እንተ,NULL
12,inasmuch,ክሳብ,NULL
13,now,ሕጂ,NULL
14,once,"ሓደ ግዜ",NULL
15,since,ስለ,NULL
16,since,ካብ,NULL
17,however,"እንተኾነ ግን",NULL
18,however,እንተኾነ,NULL
19,however,እንተኮነ,NULL
20,also,ድማ,NULL
21,also,ከኣ,NULL
22,supposing,ምስ,NULL
23,that,እቲ,NULL
24,though,እንከሎ,NULL
25,until,ክሳብ,NULL
26,whenever,ኣብ,NULL
27,whereas,ግን,NULL
28,wherever,ኣብ,NULL
29,here,ኣብዚ,NULL
31,although,ዋላኳ,NULL
32,asif,ከም,NULL
33,because,መኽንያቱ,NULL
34,lest,ተዘይኮይኑ,NULL
35,provided,እንተ,NULL
36,consequently,ከምሳዕቤኑ,NULL
37,finally,"ኣብ መጨረሽታ",NULL
38,furthermore,ብተወሳኺ,NULL
39,hence,ስለዚ,NULL
40,however,"ይኹን እምበር",NULL
41,incidentally,በጋጣም,NULL
42,indeed,"ናይ ብሓቂ",NULL
43,instead,ኣብክንድኡ,NULL
44,likewise,"ከምኡ ውን",NULL
45,meanwhile,"ክሳብ ሽዑ",NULL
46,abroad,"ኣብ ደገ",NULL
47,above,ልዕሊ,NULL
48,across,ብ,NULL
49,after,ድሕሪ,NULL
50,against,በንጻር,NULL
51,along,"ጎኒ ጎኒ",NULL
52,amid,"ኣብ ማእከል",NULL
53,among,"ኣብ መንጎ",NULL
54,anti,ኣንጻር,NULL
55,around,ከባቢ,NULL
56,as,ከም,NULL
57,at,ኣብ,NULL
58,before,ቅድሚ,NULL
59,behind,ድሕሪ,NULL
60,below,ትሕቲ,NULL
61,beneath,ትሕቲ,NULL
62,beside,"ብ ጎኒ",NULL
63,besides,"ኣብ ጥቓ",NULL
64,between,"ኣብ መንጎ",NULL
65,beyond,ኪንዮ,NULL
66,concerning,"ኣብ ግምት ዘእተወ",NULL
67,considering,"ኣብ ግምት ዘእተወ",NULL
68,despite,መሕልፎ,NULL
69,down,ንታሕቲ,NULL
70,during,"ኣብ እዋን",NULL
71,except,ብዘይካ,NULL
72,excepting,"ብዘይካ እታ",NULL
73,excluding,ብዘይካ,NULL
74,following,ደድሕሪ,NULL
75,for,ን,NULL
76,from,ካብ,NULL
77,inside,"ኣብ ውሽጢ",NULL
78,into,ናብ,NULL
79,like,ከም,NULL
80,minus,ጎደሎ,NULL
81,near,ጥቓ,NULL
82,of,ናይ,NULL
83,off,ርሑቕ,NULL
84,on,ኣብ,NULL
85,onto,ናብ,NULL
86,opposite,በንጻር,NULL
87,outside,"ብ ደገ",NULL
88,over,"ኣብ ልዕሊ",NULL
89,past,ዝሓለፈ,NULL
90,per,ብ,NULL
91,plus,ብተወሳኺ,NULL
92,regarding,ብዛዕባ,NULL
93,round,ከባቢ,NULL
94,save,ዕቋር,NULL
95,since,ካብ,NULL
97,through,ብ,NULL
98,toward,ናብ,NULL
99,towards,ናብ,NULL
100,under,ኣብትሕቲ,NULL
101,underneath,ኣብትሕቲ,NULL
102,unlike,"ዘይ ከም",NULL
103,until,ክሳብ,NULL
104,up,ንላዕሊ,NULL
105,upon,"ኣብ ልዕሊ",NULL
106,versus,ብምንጽጻር,NULL
107,via,ብ,NULL
108,with,ምስ,NULL
109,within,ምስ,NULL
110,without,ብዘይ,NULL
111,this,እዚ,NULL
112,then,ሽዑ,NULL
113,today,ሎሚ,NULL
114,but,ግን,NULL
115,or,ወይስ,NULL
116,some,ገለ,NULL
117,mine,ናተይ,NULL
119,hers,ናታ,NULL
120,theirs,ናታቶም,NULL
121,ours,ናታትና,NULL
122,something,"ገለ ነገር",NULL
123,let,እምበኣር,NULL
124,okay,ሕራይ,NULL
125,ok,ሕራይ,NULL
126,so,ስለዚ,NULL
127,please,ብኽብረት,NULL
128,those,እቲom,NULL
129,this,እዚ,NULL
130,these,እዚኦም,NULL
131,no,ኣይፋሉ,NULL
132,yes,እወ,NULL
133,any,ዝኾነ,NULL
134,hi,ሰላም,NULL
135,hello,ሰላም,NULL
136,hllo,ሰላም,NULL
137,hay,ሰላም,NULL
138,hey,ሰላም,NULL
139,hii,ሰላም,NULL
140,hiii,ሰላም,NULL
141,hiiii,ሰላም,NULL
142,miss.,ወይዘሮ,NULL
143,ms.,ወይዘሪት,NULL
144,mrs.,ወይዘሪት,NULL
145,mr.,ኣቶ,NULL
146,mister,ኣቶ,NULL
147,mr.,ኣቶ,NULL
148,time,ግዜ,NULL
149,must,ግድን,NULL
150,must,ይግባእ,NULL
152,calendar,"ዓውደ ወርሒ",NULL
153,calendars,"ዓውደ ኣዋርሕ",NULL
154,time,ግዜ,NULL
155,times,ግዜታት,NULL
156,festival,በዓል,NULL
157,festivals,በዓላት,NULL
158,decade,ዑቑድ,NULL
159,decades,ዑቑዳት,NULL
160,year,ዓመት,NULL
161,years,ዓመታት,NULL
162,yearly,ዓመታዊ,NULL
163,month,ወርሒ,NULL
164,months,ኣዋርሕ,NULL
165,monthly,ወርሓዊ,NULL
166,week,ሰሙን,NULL
167,weeks,ሰሙናት,NULL
168,weekend,"ቀዳመ ሰንበት",NULL
169,weekends,"ቀዳመ ሰንበታት",NULL
170,weekly,ሰሙናዊ,NULL
171,monday,ሰኑይ,NULL
172,tuesday,ሰሉስ,NULL
173,wednesday,ረቡዕ,NULL
174,thursday,ሓሙስ,NULL
175,friday,ዓርቢ,NULL
176,saturday,ቀዳም,NULL
177,sunday,ሰንበት,NULL
178,day,መዓልቲ,NULL
179,days,መዓልታት,NULL
180,daily,መዓልታዊ,NULL
181,hour,ሰዓት,NULL
182,hours,ሰዓታት,NULL
183,hourly,"ኣብ ሰዓት ሰዓት",NULL
184,minute,ደቒቕ,NULL
185,minutes,ደቓይቕ,NULL
186,second,ካልኢት,NULL
187,seconds,ካልኢታት,NULL
188,january,ጥሪ,NULL
189,february,ለካቲት,NULL
190,february,የካቲት,NULL
191,march,መጋቢት,NULL
192,april,ሚያዝያ,NULL
193,may,ጉንበት,NULL
194,jun,ሰነ,NULL
195,july,ሓምለ,NULL
196,august,ነሓሰ,NULL
197,september,መስከረም,NULL
198,october,ጥቅምቲ,NULL
199,november,ሕዳር,NULL
200,december,ታሕሳስ,NULL
201,Spring,ጽድያ,NULL
202,Autumn,ቀውዒ,NULL
203,Winter,ከረምቲ,NULL
204,Summer,ሓጋይ,NULL
205,Springs,ጽድያታት,NULL
206,Autumns,ቀውዕታት,NULL
207,Winters,ከረምትታት,NULL
208,tomorrow,ጽባሕ,NULL
209,yesterday,ትማሊ,NULL
210,afternoon,ድሕሪ ቀትሪ,NULL
211,evening,ምሸት,NULL
212,morning,ንግሆ,NULL
213,night,ለይቲ,NULL
214,midnight,ፍርቂ ለይቲ,NULL
215,midday,ፍርቂ መዓሊ,NULL
216,than,ካብ,NULL
217,real,ሓቂ,NULL
218,Unfortunately,"ሕማቕ ኣጋጣሚ",NULL
219,whether,"ኾይኑ",56
